,annual,state,year
851,-0.921666667,Kentucky,2005
852,-0.076666667,Kentucky,2006
853,-1.344166667,Kentucky,2007
854,-0.276666667,Kentucky,2008
855,0.6975,Kentucky,2009
856,-1.169166667,Kentucky,2010
857,2.430833333,Kentucky,2011
858,-0.810833333,Kentucky,2012
859,2.0175,Kentucky,2013
860,2.225,Kentucky,2014
861,2.635833333,Kentucky,2015
862,1.259166667,Kentucky,2016
863,0.5125,Kentucky,2017
864,3.184166667,Kentucky,2018
865,4.563333333,Kentucky,2019
866,4.383333333,Kentucky,2020
867,3.336666667,Kentucky,2021
868,1.619166667,Kentucky,2022
869,-16.91166667,Kentucky,2023
870,-0.1575,Louisiana,1966
871,-0.276666667,Louisiana,1967
872,0.653333333,Louisiana,1968
873,-0.733333333,Louisiana,1969
